client_id,limit_bal,sex,education,marriage,age,bill_amt1,pay_amt1,default_payment
ID-010153,50000,2,2,2,56,9353.88,5588.91,0
ID-010154,150000,2,2,1,39,54572.25,15650.0,0
ID-010155,20000,1,2,1,21,75991.97,17730.05,1
ID-010156,300000,2,1,1,30,10967.16,7972.85,0
ID-010157,20000,1,3,1,56,58710.65,17258.45,0
ID-010158,10000,2,3,2,29,50579.05,5341.5,0
ID-010159,100000,2,1,2,65,46688.4,10693.22,0
ID-010160,300000,2,3,2,66,31209.62,17175.23,1
ID-010161,10000,1,1,2,62,28410.53,6517.63,1
ID-010162,500000,2,1,1,52,3619.94,19080.85,0
ID-010163,100000,2,2,2,52,17432.7,2437.59,0
ID-010164,20000,1,1,2,26,1214.15,365.5,0
ID-010165,10000,2,3,3,68,46513.37,18082.71,0
ID-010166,500000,1,3,2,58,8468.26,1372.97,0
ID-010167,300000,2,2,1,37,69841.55,19837.78,0
ID-010168,300000,1,1,2,30,41851.44,19027.94,1
ID-010169,200000,1,1,1,70,55975.19,2740.42,0
ID-010170,500000,2,2,2,47,32868.57,10751.69,0
ID-010171,150000,1,4,1,74,44846.38,3698.41,0
ID-010172,50000,1,2,1,70,75412.73,8563.1,0
ID-010173,100000,1,1,2,55,6618.72,1228.5,1
ID-010174,500000,1,2,1,72,20315.02,4478.49,1
ID-010175,200000,1,2,2,41,62399.07,7265.46,0
ID-010176,50000,1,2,1,45,7898.98,8772.95,0
ID-010177,50000,2,1,2,48,6052.89,19549.93,0
ID-010178,10000,1,2,2,67,28923.31,16157.31,1
ID-010179,50000,1,2,2,35,7373.44,14748.2,0
ID-010180,150000,2,4,1,24,46806.28,10740.83,1
ID-010181,300000,2,1,1,49,18102.02,16799.96,0
ID-010182,200000,2,2,1,29,71655.84,6786.46,0
ID-010183,50000,2,3,1,47,62680.01,14177.98,0
ID-010184,10000,2,1,2,46,55976.42,19875.68,1
ID-010185,150000,2,3,2,39,49355.52,6292.58,0
ID-010186,20000,2,2,2,48,69077.26,13480.35,0
ID-010187,300000,1,1,2,37,17844.96,16886.3,0
ID-010188,300000,1,1,2,63,69848.71,18316.15,0
ID-010189,200000,2,2,2,61,63159.38,14358.65,1
ID-010190,300000,1,1,1,62,59852.87,5672.16,0
ID-010191,50000,1,2,2,70,44900.45,6525.64,0
ID-010192,10000,1,1,2,40,19699.53,415.16,1
ID-010193,300000,2,2,2,65,33883.83,15217.72,0
ID-010194,300000,2,1,1,60,63485.65,854.79,1
ID-010195,20000,1,3,1,59,2542.28,17293.05,1
ID-010196,20000,2,4,2,69,62564.06,2373.21,1
ID-010197,100000,1,4,2,73,19205.66,3437.53,0
ID-010198,150000,1,2,2,43,11544.74,9530.53,0
ID-010199,50000,1,1,1,67,9256.11,14757.61,0
ID-010200,300000,1,2,3,52,2180.0,2780.04,0
ID-010201,500000,2,1,1,72,41886.92,8801.42,0
ID-010202,300000,2,1,1,67,17460.79,9657.03,0
ID-010203,10000,2,1,1,53,79154.54,4245.71,1
ID-010204,100000,1,2,2,66,45954.94,2311.17,1
ID-010205,150000,2,2,2,25,11030.82,16728.42,0
ID-010206,500000,1,2,1,63,55101.0,10049.31,0
ID-010207,100000,2,2,2,68,71819.49,287.62,0
ID-010208,200000,1,1,1,54,59614.36,16059.63,0
ID-010209,150000,1,4,2,60,6115.19,19615.88,0
ID-010210,300000,1,2,2,31,71670.73,12118.52,0
ID-010211,300000,2,2,2,70,63514.35,10074.17,0
ID-010212,150000,2,1,1,23,12664.31,17568.32,1
ID-010213,300000,2,2,3,53,4142.87,19050.34,0
ID-010214,50000,2,2,2,31,44584.85,15090.74,0
ID-010215,150000,1,1,1,36,12482.86,8909.06,0
ID-010216,100000,2,1,2,38,66767.28,11844.43,0
ID-010217,150000,2,2,1,50,28666.77,14018.71,0
ID-010218,500000,1,2,2,68,73031.4,3885.47,1
ID-010219,300000,1,1,1,30,45255.05,8944.02,0
ID-010220,50000,1,4,2,38,14613.79,16596.43,0
ID-010221,50000,2,1,2,58,11167.91,13094.51,1
ID-010222,200000,1,2,1,39,46117.8,8224.08,0
ID-010223,100000,1,3,1,56,60950.69,13267.25,0
ID-010224,20000,1,2,1,33,62520.45,2364.45,1
ID-010225,20000,2,2,2,66,22060.59,8029.95,0
ID-010226,150000,1,2,1,23,16339.74,15862.57,0
ID-010227,200000,2,1,2,30,1340.5,4410.18,0
ID-010228,10000,2,4,1,58,54335.93,3719.23,0
ID-010229,150000,1,2,1,21,6125.46,19016.37,0
ID-010230,200000,1,3,2,47,33660.9,4197.95,0
ID-010231,100000,2,1,1,66,48134.57,5218.37,0
ID-010232,100000,1,1,2,28,74968.72,19392.32,0
ID-010233,100000,1,1,2,71,24944.17,14694.17,1
ID-010234,100000,2,2,2,66,19981.77,13991.93,0
ID-010235,100000,2,2,2,62,52332.81,17058.53,0
ID-010236,200000,1,3,2,37,49539.12,2316.46,0
ID-010237,200000,2,2,1,29,26568.78,14119.12,0
ID-010238,50000,1,4,1,26,74248.15,10073.77,0
ID-010239,500000,1,1,1,63,67588.99,16583.01,0
ID-010240,20000,1,3,2,45,17918.6,10162.83,0
ID-010241,300000,2,2,1,59,19131.4,12404.83,0
ID-010242,100000,1,2,2,69,40984.03,9554.84,0
ID-010243,10000,1,3,3,48,61885.77,9563.18,0
ID-010244,300000,1,2,2,53,3523.23,15359.4,0
ID-010245,200000,2,2,2,74,55466.81,12571.33,0
ID-010246,10000,2,1,1,57,51858.87,12665.26,1
ID-010247,10000,2,1,2,29,18518.41,9005.65,0
ID-010248,10000,2,3,2,38,54508.24,10622.19,0
ID-010249,50000,2,2,1,41,75214.66,14914.35,0
ID-010250,200000,1,2,1,22,3742.87,16518.82,0
ID-010251,10000,2,2,2,63,25572.16,13931.23,0
ID-010252,100000,2,1,2,58,35054.14,18481.46,0
ID-010253,150000,2,1,2,60,71940.83,16406.48,0
ID-010254,10000,1,2,2,56,76980.92,11237.28,0
ID-010255,50000,2,2,2,70,35529.22,13428.12,0
ID-010256,300000,2,1,2,63,60002.27,18526.17,0
ID-010257,200000,1,2,1,57,42532.88,12383.36,0
ID-010258,500000,2,1,1,35,43022.63,16496.14,0
ID-010259,50000,1,2,1,48,22247.96,13776.21,0
ID-010260,10000,1,1,2,38,17356.5,11038.73,1
ID-010261,200000,1,2,2,54,23040.43,4836.76,0
ID-010262,150000,1,1,2,42,44506.24,8519.95,0
ID-010263,10000,1,2,1,31,2332.41,19354.86,1
ID-010264,50000,2,1,2,33,72579.92,13155.31,0
ID-010265,20000,1,1,2,24,12502.7,11287.91,0
ID-010266,100000,1,2,2,42,17607.09,18659.13,0
ID-010267,500000,2,2,2,27,41462.09,11730.24,1
ID-010268,300000,1,2,1,63,56809.18,10521.65,0
ID-010269,50000,2,1,2,74,7658.32,15186.22,1
ID-010270,200000,2,2,1,44,25415.58,14253.31,0
ID-010271,500000,2,3,1,24,77493.97,3863.2,1
ID-010272,500000,1,2,2,48,20987.44,9426.17,0
ID-010273,500000,1,1,2,35,25044.01,9450.31,0
ID-010274,10000,1,2,3,21,66919.88,7564.49,0
ID-010275,100000,2,1,2,23,4017.15,10345.87,0
ID-010276,10000,1,1,2,34,37169.05,8262.15,1
ID-010277,200000,1,4,2,58,30369.34,3986.91,0
ID-010278,10000,1,1,2,70,25326.94,8247.33,0
ID-010279,20000,2,2,1,21,22855.97,1445.54,0
ID-010280,100000,2,2,1,58,7309.93,11515.72,1
ID-010281,100000,1,2,1,58,25186.07,17073.09,0
ID-010282,200000,1,2,2,41,3444.19,14505.74,0
ID-010283,300000,1,1,1,68,62477.11,7207.88,0
ID-010284,20000,1,1,1,49,31858.22,1741.42,1
ID-010285,50000,2,2,1,25,35512.31,4042.99,1
ID-010286,10000,2,1,3,69,71487.57,10909.81,1
ID-010287,150000,2,2,1,30,52644.4,4141.14,0
ID-010288,10000,2,1,2,48,644.73,10879.46,0
ID-010289,500000,1,1,1,41,75453.99,4631.98,0
ID-010290,10000,1,2,2,70,18971.56,16978.48,0
ID-010291,50000,1,1,1,27,8609.13,7945.43,0
ID-010292,10000,2,2,1,23,61450.25,4911.01,0
ID-010293,20000,1,2,2,65,40038.19,16246.52,0
ID-010294,20000,2,3,1,67,34701.65,6856.78,1
ID-010295,100000,2,1,1,40,19960.25,2229.75,0
ID-010296,200000,1,1,1,39,43797.72,11408.19,0
ID-010297,300000,1,1,1,55,21950.77,11631.28,0
ID-010298,150000,1,2,1,24,72126.64,14293.91,0
ID-010299,500000,2,2,1,25,17216.36,4804.39,1
ID-010300,10000,1,1,2,21,70748.41,8875.43,0
ID-010301,10000,2,3,2,24,44752.43,5647.36,0
ID-010302,50000,1,1,2,32,66279.05,1619.07,0
ID-010303,200000,2,2,1,47,57027.68,17532.28,0
ID-010304,20000,2,2,2,62,55735.61,14577.4,1
ID-010305,150000,1,3,1,43,25947.66,6029.26,0
ID-010306,100000,2,2,1,45,18711.75,11987.46,1
ID-010307,20000,2,3,2,41,16870.9,4025.28,0
ID-010308,500000,1,1,1,72,68575.33,17804.73,0
ID-010309,200000,2,3,1,44,65634.15,2298.13,0
ID-010310,500000,1,1,2,45,35245.88,76.74,0
ID-010311,300000,2,3,2,65,10592.37,10040.16,0
ID-010312,100000,1,2,2,66,30580.18,11662.56,0
ID-010313,300000,1,3,2,52,49547.48,11579.31,0
ID-010314,50000,2,2,3,52,36352.25,1090.24,0
ID-010315,500000,2,2,1,25,62415.14,6280.88,0
ID-010316,50000,2,2,1,56,79809.83,9983.98,0
ID-010317,10000,2,2,1,66,15290.57,4331.58,0
ID-010318,300000,2,1,1,62,36772.07,17452.52,1
ID-010319,200000,1,1,1,69,34478.71,1742.19,0
ID-010320,500000,2,1,2,62,24359.4,9747.69,1
ID-010321,150000,1,1,2,59,15847.64,13828.32,0
ID-010322,100000,1,3,2,36,5255.37,5235.02,1
ID-010323,20000,2,1,1,53,70969.55,12484.81,0
ID-010324,200000,1,4,2,69,33587.9,16587.7,0
ID-010325,200000,1,1,3,41,39751.64,3806.74,0
ID-010326,50000,1,1,2,29,73355.36,18344.41,0
ID-010327,300000,1,2,1,26,62103.24,11071.17,0
ID-010328,500000,2,2,2,71,10440.1,5984.64,0
ID-010329,500000,1,2,1,65,45233.6,8617.17,0
ID-010330,10000,2,2,1,55,35380.18,6243.84,1
ID-010331,10000,2,2,1,59,63776.89,14502.22,1
ID-010332,100000,1,1,2,42,57938.6,15926.01,0
ID-010333,50000,2,4,2,61,55232.46,16658.75,0
ID-010334,200000,2,4,1,74,27243.59,19715.36,1
ID-010335,500000,2,2,1,25,64397.1,15825.69,0
ID-010336,150000,1,1,2,62,4191.3,12027.68,0
ID-010337,50000,2,2,1,43,12769.99,6784.41,0
ID-010338,100000,2,1,1,37,26849.86,10891.91,0
ID-010339,100000,2,1,1,32,6144.6,821.36,0
ID-010340,50000,1,1,2,43,18799.54,14896.5,0
ID-010341,100000,2,2,1,36,66412.08,8919.11,0
ID-010342,50000,1,3,1,23,75860.12,400.46,0
ID-010343,20000,1,2,1,50,24368.19,1250.14,0
ID-010344,50000,1,2,2,42,21161.26,7749.33,1
ID-010345,300000,1,2,2,29,22391.41,11668.43,0
ID-010346,50000,1,1,2,49,22217.53,9284.08,0
ID-010347,100000,1,2,1,67,2874.41,12384.09,0
ID-010348,500000,2,4,2,57,74153.31,9605.89,0
ID-010349,300000,1,1,1,43,17095.85,13234.08,0
ID-010350,100000,2,3,2,33,33600.33,4382.52,1
ID-010351,10000,2,2,2,52,774.95,2256.86,0
ID-010352,10000,1,2,2,66,68636.41,11928.68,1
ID-010353,500000,2,2,2,72,58492.59,9693.79,0
ID-010354,500000,2,2,2,67,75740.48,537.35,1
ID-010355,300000,2,3,1,68,62529.24,7609.64,1
ID-010356,20000,2,3,2,43,25096.52,2122.51,0
ID-010357,500000,1,2,1,65,19829.87,10627.14,0
ID-010358,10000,2,1,2,37,55817.3,7915.55,0
ID-010359,50000,1,2,1,60,29129.02,12263.04,0
ID-010360,100000,2,3,1,41,45297.2,16112.04,0
ID-010361,10000,2,1,1,22,500.6,5993.37,1
ID-010362,10000,1,2,1,57,4950.86,19242.04,0
ID-010363,20000,2,2,2,26,42829.44,10712.69,0
ID-010364,300000,2,2,2,64,45285.73,12365.82,0
ID-010365,300000,2,1,1,38,60116.24,13613.45,0
ID-010366,200000,1,2,1,50,10557.23,13334.63,0
ID-010367,20000,2,3,2,42,41054.65,10219.41,0
ID-010368,50000,1,1,1,74,15555.81,8575.29,0
ID-010369,300000,2,1,2,53,7455.69,1075.64,0
ID-010370,100000,1,4,2,50,32839.66,441.72,0
ID-010371,500000,1,1,2,37,13066.93,7159.22,0
ID-010372,20000,2,3,2,63,17742.56,6673.22,0
ID-010373,500000,2,2,1,52,25404.37,7753.9,0
ID-010374,10000,1,1,2,62,20751.07,2767.36,0
ID-010375,100000,1,3,1,71,7007.3,14763.37,0
ID-010376,100000,2,2,1,34,7193.3,17139.29,0
ID-010377,10000,1,2,2,30,15459.95,18774.29,1
ID-010378,20000,2,2,1,67,4044.74,9847.25,1
ID-010379,10000,2,2,2,71,50116.56,14017.31,0
ID-010380,500000,2,1,2,56,22986.14,17111.02,0
ID-010381,200000,2,2,2,54,22379.68,8365.82,0
ID-010382,100000,1,4,2,29,26559.86,6188.26,0
ID-010383,150000,2,1,1,62,53023.7,18734.49,0
ID-010384,150000,1,2,1,48,69650.71,10313.53,0
ID-010385,500000,2,1,2,31,60726.95,9945.08,0
ID-010386,50000,1,2,1,34,58202.34,3568.32,1
ID-010387,300000,2,1,2,59,38751.29,2163.1,0
ID-010388,10000,1,4,2,67,55504.44,16842.14,1
ID-010389,10000,1,2,2,74,44220.99,12282.66,0
ID-010390,50000,2,1,1,39,17300.04,6516.49,0
ID-010391,50000,2,1,1,74,16687.07,3834.72,0
ID-010392,500000,2,1,1,35,23711.36,11109.95,0
ID-010393,500000,2,2,1,48,72864.21,11678.39,0
ID-010394,50000,1,1,2,44,43793.19,4139.87,0
ID-010395,100000,2,3,1,28,58712.43,17028.11,1
ID-010396,500000,1,2,1,63,27724.7,1685.29,0
ID-010397,200000,1,1,1,29,32617.26,7121.86,0
ID-010398,500000,2,2,2,67,10045.25,13607.69,0
ID-010399,10000,1,2,2,53,13703.6,5482.41,1
ID-010400,500000,1,1,1,53,66188.52,16553.5,1
ID-010401,100000,1,1,1,39,46787.09,14797.36,1
ID-010402,50000,1,1,1,23,27002.6,15780.46,0
ID-010403,10000,2,2,1,30,64228.1,2382.13,0
ID-010404,500000,2,2,2,60,19721.59,2810.94,1
ID-010405,100000,2,2,2,67,78082.62,5729.47,0
ID-010406,200000,2,3,1,62,27585.41,10361.54,0
ID-010407,500000,1,3,1,21,26984.88,14960.32,0
ID-010408,100000,1,2,3,49,24952.95,16730.62,0
ID-010409,200000,2,3,2,70,9768.92,14086.71,0
ID-010410,50000,2,1,2,54,8890.97,18571.94,0
ID-010411,500000,2,1,1,71,51848.4,14774.87,0
ID-010412,200000,1,1,2,33,70009.44,6125.36,1
ID-010413,10000,2,1,1,74,63241.64,5301.63,0
ID-010414,50000,2,2,2,21,11288.61,13923.85,0
ID-010415,10000,2,3,3,54,43646.57,3857.41,0
ID-010416,150000,1,1,1,49,8447.32,1854.3,1
ID-010417,20000,1,1,1,68,3623.57,10644.46,0
ID-010418,500000,1,2,1,67,52510.87,16432.83,1
ID-010419,200000,1,3,1,33,42812.19,2027.6,1
ID-010420,20000,1,1,1,68,6561.89,15837.83,0
ID-010421,20000,1,2,1,69,2795.14,16231.44,0
ID-010422,200000,1,1,2,73,79180.51,9645.48,0
ID-010423,50000,1,1,2,49,2401.71,1146.21,0
ID-010424,500000,2,4,1,59,35562.26,3491.8,1
ID-010425,150000,2,4,2,44,40369.52,14148.53,0
ID-010426,10000,1,1,1,46,9382.41,14235.56,0
ID-010427,100000,1,4,3,37,13524.94,17967.11,0
ID-010428,10000,2,2,1,27,28144.4,11653.72,0
ID-010429,100000,1,3,2,33,60934.07,2482.15,0
ID-010430,10000,1,2,2,25,40566.59,2428.3,0
ID-010431,200000,1,2,2,46,51032.15,14422.65,1
ID-010432,150000,2,2,3,69,78813.96,3675.69,0
ID-010433,500000,2,2,1,23,61440.43,6567.71,0
ID-010434,100000,2,1,3,27,34748.92,9744.24,1
ID-010435,500000,2,1,1,69,35715.35,495.3,0
ID-010436,500000,2,1,1,59,49501.77,4976.38,0
ID-010437,500000,1,2,1,73,53229.22,8157.79,0
ID-010438,300000,2,1,2,21,40056.87,5592.73,1
ID-010439,50000,1,2,1,69,51588.9,2727.41,1
ID-010440,10000,1,4,2,37,1882.6,14560.25,0
ID-010441,500000,2,1,2,63,34369.83,16262.95,0
ID-010442,10000,2,2,2,45,22315.05,5149.58,0
ID-010443,500000,1,2,2,23,10333.96,15488.39,0
ID-010444,100000,1,3,1,35,7963.72,7711.07,0
ID-010445,50000,1,1,1,49,48255.37,10133.72,0
ID-010446,50000,2,2,1,73,41888.04,17120.02,0
ID-010447,200000,2,3,1,63,20286.73,14999.07,0
ID-010448,300000,2,3,1,52,37676.0,16102.34,0
ID-010449,200000,2,2,1,46,39378.59,2736.9,1
ID-010450,200000,2,2,1,36,15600.72,1394.39,0
ID-010451,200000,1,2,3,45,52167.44,17868.09,0
ID-010452,200000,2,3,2,74,62473.55,7756.69,0
ID-010453,200000,1,2,1,48,63317.08,5757.59,0
ID-010454,150000,1,1,2,29,48197.59,14493.93,0
ID-010455,50000,1,3,1,21,40931.09,16728.31,0
ID-010456,200000,2,2,1,49,4880.57,17249.79,0
ID-010457,500000,2,2,2,42,23026.5,6319.94,0
ID-010458,50000,2,1,2,36,7461.72,17044.25,0
ID-010459,50000,1,2,1,61,77105.85,818.68,0
ID-010460,20000,1,2,3,71,10806.41,993.23,0
ID-010461,150000,1,2,2,64,12142.03,12470.38,1
ID-010462,200000,1,1,2,71,71166.13,1262.13,0
ID-010463,10000,1,2,2,74,75514.26,6492.18,1
ID-010464,100000,1,4,2,61,61266.32,13455.12,0
ID-010465,300000,2,1,1,27,432.39,6745.34,0
ID-010466,500000,2,4,1,34,107.7,3592.0,0
ID-010467,10000,2,2,1,49,30248.06,5627.01,0
ID-010468,150000,2,3,2,39,11471.63,9151.51,0
ID-010469,100000,1,2,2,39,1470.89,9507.72,1
ID-010470,150000,1,2,1,22,37125.34,15660.0,0
ID-010471,500000,2,2,3,61,75444.95,15003.06,0
ID-010472,50000,1,3,2,65,25905.57,9136.36,0
ID-010473,100000,2,2,2,35,52891.25,16913.35,0
ID-010474,50000,2,1,2,23,52178.83,2284.74,1
ID-010475,500000,2,2,2,31,20086.41,5107.07,0
ID-010476,10000,1,3,1,73,52034.02,16559.53,0
ID-010477,500000,2,2,2,66,16986.72,7559.88,0
ID-010478,10000,2,2,1,50,9760.59,19623.63,1
ID-010479,100000,2,2,2,60,56110.66,9325.07,0
