longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,target
-122.3402,36.2782,41,1801,597,911,381,9.6064,410113.18
-123.8477,37.0108,33,825,207,204,82,12.5341,499563.88
-121.0467,38.3986,50,5973,1120,3544,1363,6.5266,339729.48
-120.4132,40.7126,4,5197,860,954,290,4.2454,256358.19
-121.5865,41.7504,42,989,286,1319,412,13.0717,500000.0
-116.0126,39.7218,7,3270,741,454,134,10.2044,392895.59
-120.7325,36.427,22,589,185,893,328,6.9972,306069.25
-121.4907,36.4608,33,4967,1400,1832,502,7.5746,340390.51
-118.873,39.4333,17,1511,467,1614,670,3.4617,158901.37
-122.8908,34.7445,24,5234,1070,1234,420,9.5886,435258.74
-116.278,33.5385,34,405,117,796,221,5.7018,229309.85
-123.5545,35.8334,28,3654,741,1775,752,14.9369,500000.0
-114.4311,35.2,43,3373,1139,3238,1459,7.4627,366869.54
-116.5776,35.2853,41,284,79,320,85,7.5453,353143.51
-122.3128,34.6959,39,1598,343,819,305,8.7049,382548.66
-124.2448,32.8957,22,2146,438,1765,524,13.793,500000.0
-116.1454,32.668,49,4263,802,1560,761,12.1119,500000.0
-117.2314,41.7846,17,2151,621,221,65,7.0414,330864.25
-117.0099,36.5211,34,1723,334,323,123,10.9211,463990.83
-116.5873,36.1127,6,5213,1403,2356,1116,9.0004,473221.81
-123.5596,38.8887,46,2150,436,1208,375,7.6393,373549.42
-120.7153,34.5516,6,3707,1047,1756,708,3.2886,154766.18
-123.1413,41.4296,34,4703,1472,3843,1386,7.2271,378173.64
-115.669,39.8916,1,3646,1114,1821,843,4.0644,225674.79
-118.067,33.3405,10,3798,1148,471,205,13.7652,500000.0
-120.991,36.4253,21,3223,604,1494,576,5.3634,210774.82
-123.6644,40.7637,5,1865,313,1259,578,14.3078,500000.0
-121.1902,41.3805,2,3891,1128,2461,644,8.2293,397260.17
-121.0482,36.8936,22,2055,460,3728,1853,9.6574,483190.83
-117.0039,38.2661,48,4543,1074,2475,834,8.3726,412336.01
-117.9244,34.0701,2,724,113,3644,1622,2.376,130173.4
-115.4279,41.817,10,436,88,629,241,5.9494,296836.27
-119.5779,34.6777,34,2208,346,940,244,1.9376,146331.48
-123.1041,41.3617,16,2711,883,771,332,9.5328,439445.72
-117.1676,38.6067,48,2114,420,3317,844,6.9797,298143.38
-116.6921,38.2127,51,3901,1020,930,386,11.7808,499271.83
-118.6872,37.3193,39,3303,521,1171,336,3.6968,206451.19
-116.5903,34.6683,22,5029,1425,2702,873,2.8862,191982.42
-119.362,34.1594,12,4686,1006,2057,546,6.3918,314313.36
-119.0727,34.5726,24,4316,1422,2119,682,13.9355,500000.0
-120.0246,34.2525,47,789,258,1523,496,10.8011,423773.32
-124.0458,39.8281,40,1451,312,3293,1377,6.5744,318821.67
-123.2211,35.7912,38,3309,1093,432,185,8.0004,303635.86
-123.9857,33.0437,10,2327,813,2231,582,1.7211,161004.43
-117.9359,41.6096,35,3954,1246,1499,564,14.7764,500000.0
-121.1564,40.8076,51,3973,1267,3146,1146,10.1629,452113.89
-119.2143,41.2209,49,4264,852,2600,739,4.6384,250293.93
-115.2243,41.8521,32,3277,870,3306,1235,8.9942,426016.24
-121.8071,34.1346,7,2881,471,3206,821,2.0875,140898.81
-120.1962,36.2247,21,3808,643,1640,472,14.5046,500000.0
-116.7445,39.6274,20,2562,896,1836,575,3.0344,203204.19
-122.012,39.0426,26,2201,474,193,51,9.8964,486077.9
-123.5302,33.9466,4,3725,1116,1936,922,4.0591,192731.28
-121.4025,40.1688,46,2795,870,1752,697,10.9046,434821.35
-122.6878,34.6097,22,3916,1259,1485,507,11.7639,500000.0
-115.003,34.6039,15,3814,1333,273,111,10.2646,453367.26
-116.2188,37.5476,40,5851,1160,269,77,9.4102,440011.48
-117.966,38.0736,21,5868,928,228,59,13.4408,500000.0
-115.5854,37.9528,15,2272,528,1704,598,1.6401,52093.89
-116.2633,33.36,22,2842,500,482,180,5.2983,312580.16
-122.4343,40.7481,28,1747,270,314,80,4.1002,196542.95
-115.3744,34.9966,14,5590,1241,1003,347,14.8262,500000.0
-118.9066,33.7174,27,3512,1077,478,161,6.1462,318469.78
-116.2256,40.8542,41,4113,1083,3783,1399,11.1229,500000.0
-115.3391,41.4831,40,5905,1255,2513,658,10.4285,478522.24
-121.12,40.604,28,1574,442,3574,1139,3.5752,195744.82
-123.1995,40.1095,26,4810,945,2824,801,3.9655,228340.66
-122.0206,38.6593,49,82,13,2294,633,4.5786,190145.52
-120.0289,37.6781,2,4075,1234,1627,606,6.4613,275085.34
-116.1199,33.3177,25,2616,719,3174,1107,3.8977,169912.43
-115.6927,36.3395,3,2853,863,529,143,0.7849,91033.86
-124.2305,36.0033,8,3946,623,3564,1307,13.2512,500000.0
-119.1925,34.9417,44,3759,1193,1403,391,14.5013,500000.0
-120.1259,39.3001,33,5697,1560,3372,869,5.4528,334074.53
-122.0789,37.1612,42,769,202,3928,1210,5.4083,274943.84
-123.1013,33.2618,35,4629,1273,939,270,0.6028,72194.72
-120.9238,34.5697,6,1022,330,3904,1081,10.3636,486815.05
-114.8709,38.9226,39,3768,1008,974,264,12.4689,500000.0
-121.068,33.2156,23,4452,1185,2220,796,2.6258,169113.7
-119.1121,40.5013,25,4602,1602,1952,928,2.8152,186366.86
-117.2698,37.1544,50,2257,680,1460,521,11.9562,500000.0
-120.6637,37.0175,43,4476,1067,1412,422,9.4362,407770.48
-114.5822,38.0686,19,4370,1274,827,285,1.1505,145087.95
-114.6755,40.252,5,3080,702,2445,699,9.5269,462399.39
-121.7822,35.7694,51,3625,710,78,29,4.9793,174158.67
-119.3275,38.8734,11,5625,1515,3072,940,5.8465,286440.92
-121.2912,37.8179,12,3166,1063,84,35,11.6611,500000.0
-121.4516,35.0101,10,3335,1120,3639,1040,12.2586,500000.0
-123.9311,40.7591,8,5228,1142,1469,475,6.3052,350220.07
-118.2044,39.9958,24,693,177,2720,1130,14.2337,500000.0
-119.2732,38.6894,28,4761,916,3415,1322,6.3937,273864.11
-123.7852,40.4955,41,244,85,638,182,11.6916,486887.55
-121.5135,40.6526,36,4046,1401,3470,1170,7.5162,369130.13
-115.2173,39.1586,37,538,151,3268,1344,13.5142,500000.0
-121.9044,40.3679,21,2254,701,3188,810,13.6625,500000.0
-122.8511,39.0562,8,2707,793,953,278,1.7675,140171.58
-119.4055,38.8933,9,5395,1449,2617,669,14.0792,500000.0
-114.4435,38.3149,47,3326,534,2219,777,12.4703,500000.0
-121.8794,39.5755,15,1152,278,389,132,11.974,500000.0
-117.5786,33.9909,48,5293,1508,224,59,3.4132,171664.57
-116.6838,40.7802,46,1291,369,1973,647,12.1742,500000.0
-121.9236,40.6953,40,565,127,1764,517,12.8269,500000.0
-117.0178,32.7749,18,5771,1953,646,258,4.6927,261123.37
-120.6222,40.2627,42,5273,967,500,173,14.3078,500000.0
-117.9769,33.7114,20,442,111,606,270,1.223,63560.93
-117.9647,35.6501,6,680,196,1209,501,2.6737,176767.98
-118.9423,39.489,12,3766,1090,3976,1986,8.2949,345789.42
-123.3971,34.0111,2,1897,531,3137,1509,8.849,372372.3
-115.947,40.1889,7,2705,555,1406,356,9.8547,500000.0
-121.0922,40.3221,16,1029,186,3316,1335,0.7461,61685.38
-122.4348,37.2702,3,4579,1269,3617,1087,14.4253,500000.0
-123.8922,32.56,45,3452,932,2106,573,1.1465,141568.71
-118.3911,35.1982,3,3921,729,3949,1273,2.5744,101647.32
-117.5244,38.2991,27,327,95,2431,1054,0.7032,100050.39
-124.1341,41.7232,50,282,68,3454,999,8.7194,394654.31
-119.1791,38.439,43,1602,454,1066,333,14.0179,500000.0
-122.035,34.9422,40,5740,1822,2424,700,10.1562,429502.31
-117.8483,38.4597,38,5259,967,2112,597,12.4285,500000.0
-122.5563,37.5759,33,3320,511,888,225,0.6926,55621.57
-117.3906,39.8305,28,2459,752,1687,536,8.3592,414306.33
-120.4326,33.5056,1,3562,969,275,102,7.1637,352777.37
-114.9327,39.6537,8,75,22,3546,1076,7.735,378898.06
-122.9248,37.5879,37,5563,1767,1863,872,1.5471,122665.08
-120.8893,41.5521,32,510,158,3529,930,10.4243,398339.95
-123.1653,35.7136,48,3814,1305,2210,987,7.7967,263321.68
-115.0531,38.4466,43,3481,895,2070,779,11.5947,500000.0
-115.5266,41.2611,37,5237,1297,1501,413,7.5367,351240.95
-121.7206,33.4636,4,5152,1187,2098,657,2.666,192346.63
-117.7002,41.3099,30,3533,639,2363,848,9.8997,441088.4
-116.1278,38.9661,6,2044,541,1564,531,2.9996,237746.32
-118.748,33.1377,46,540,111,1281,345,13.1497,500000.0
-119.0035,35.3291,19,1122,375,1695,632,9.3902,408309.57
-121.8815,39.1568,32,3223,859,1785,477,2.7795,171415.89
-123.369,33.1331,9,265,71,3049,1401,14.4539,500000.0
-115.3278,37.9724,12,1773,392,3490,982,8.0163,376304.91
-115.2958,35.7513,11,1642,263,355,96,1.557,78465.59
-117.969,38.3366,46,2656,415,2109,892,9.5891,423586.44
-120.9097,32.93,16,208,49,3466,1212,4.1714,195560.43
-120.8079,40.6924,1,4831,806,3586,1538,12.1536,500000.0
-117.0404,41.6508,45,3363,913,1773,519,12.3584,500000.0
-115.3289,41.6075,21,2891,943,1739,566,14.6947,500000.0
-115.4291,39.5467,30,1826,596,1567,479,7.7771,355422.93
-116.5012,33.7228,13,2102,592,1441,602,7.0969,313801.76
-117.8797,39.6277,34,5989,1151,3967,1637,11.4254,500000.0
-123.4586,32.7311,4,2345,756,3034,1457,2.4208,118325.45
-122.6837,32.708,28,5735,1877,469,177,8.4303,427097.7
-115.3145,35.5419,38,1746,331,2986,957,8.4206,437638.69
-118.2357,37.0932,31,3043,905,3912,1053,1.7974,96424.82
-124.208,39.7418,27,2519,522,2268,680,6.5608,348036.07
-123.2853,38.923,5,1996,620,183,64,12.8726,500000.0
-117.665,36.6915,25,3859,1349,2080,532,12.9142,500000.0
-124.2494,35.0721,3,2833,442,3062,891,1.9389,205875.97
-122.6919,41.873,33,3694,1217,1500,389,1.8155,117578.85
-118.8127,36.5061,4,5291,1453,3146,1030,4.3091,201211.02
-117.381,36.743,25,5727,1974,1603,637,13.1841,500000.0
-117.7804,34.0381,20,2550,620,3311,1572,2.3691,154246.52
-122.0573,39.9712,34,3695,1180,1214,352,10.94,500000.0
-117.1782,39.0206,26,2695,438,3676,1639,1.9669,118955.65
-121.9275,34.5752,5,2399,521,1919,737,9.5355,414380.22
-121.046,33.2744,35,1982,324,1869,610,5.663,303740.45
-116.8351,38.8967,28,3344,1154,2755,881,11.9393,500000.0
-117.8037,38.6524,29,1807,566,3436,1073,3.8885,156768.29
-115.8078,35.0686,9,5135,1646,3565,1528,9.7684,482517.26
-117.7239,41.4381,38,5687,1920,1392,504,3.9174,230716.06
-118.6169,33.9199,50,1166,195,1514,468,10.8481,454995.03
-123.3633,36.5639,6,2617,594,3213,816,13.1683,500000.0
-120.6228,41.37,19,3549,583,2276,659,2.3386,133243.81
-121.648,36.4454,44,542,104,1129,294,13.0656,500000.0
-121.8601,38.5021,11,3356,657,1228,348,9.1068,448611.44
-114.5699,36.2374,2,669,163,1745,548,2.3431,148371.89
-120.369,35.0776,47,3282,669,160,67,6.6994,269353.31
-115.3795,41.7494,44,3873,659,2234,670,2.8325,166178.98
-117.9886,36.3477,44,2430,446,2329,717,10.655,453918.31
-116.3519,40.9045,9,1596,286,3089,964,11.5036,500000.0
-119.2736,34.6616,21,5008,1726,517,174,2.034,150436.55
-118.531,34.5032,24,5837,1762,2829,925,7.839,383580.23
-119.3748,32.7927,34,3613,1241,2578,966,12.3121,500000.0
-122.3476,38.6257,22,1655,394,3189,1049,14.0744,500000.0
-117.0755,35.9641,3,3802,782,863,360,7.946,414453.03
-121.4923,40.625,12,4725,1463,1322,366,14.279,500000.0
-124.0568,36.9482,28,1940,418,1043,440,8.2675,375423.49
-117.8453,41.601,30,1325,278,2081,959,6.2158,262163.62
-122.5289,34.2439,26,2793,549,372,130,12.7989,500000.0
-114.8954,40.6651,48,2543,447,3019,910,7.6482,342097.23
-114.7607,39.8,21,5501,1107,953,331,7.3426,365923.03
-115.1514,39.7467,28,5308,1173,1591,623,7.6095,426735.89
-120.5984,40.441,26,406,116,2049,658,12.7784,500000.0
-124.1454,39.6536,33,5770,938,1865,692,12.5632,500000.0
-115.0168,38.3865,21,919,177,3553,919,6.351,260632.79
-120.0182,33.7337,35,935,292,3608,938,5.3328,268854.2
-114.6335,32.8057,34,2051,368,2703,900,7.633,360517.84
-114.6638,41.156,41,5559,1215,2526,951,8.8052,454154.84
-115.7699,38.2965,51,1333,430,3390,976,3.9559,222749.66
-121.3555,39.9875,47,669,121,3830,1847,12.0123,500000.0
-120.449,37.0263,18,932,155,3658,1240,7.554,333717.86
-115.7886,33.6027,11,846,209,197,74,5.3437,268618.05
-121.1308,33.6767,23,3692,777,1191,310,2.0489,135585.6
-122.6051,38.9443,48,3475,913,899,444,3.9633,230508.93
-118.732,36.5449,22,1346,418,416,134,14.2646,500000.0
-114.9385,34.3849,17,4764,845,2947,847,4.9239,253383.54
-117.3397,37.121,5,5980,1592,1139,383,2.9485,151480.19
-118.5994,33.1036,44,294,74,2088,962,7.1798,356663.62
-123.3282,37.9705,11,2945,527,2910,738,4.9528,274793.22
-118.1499,35.0285,30,979,269,3491,1150,1.0098,70702.3
-114.3995,39.9971,15,5416,1109,224,69,5.1856,293290.2
-122.8992,35.4174,27,569,141,1904,770,8.3896,377174.84
-119.1167,36.7791,35,3262,543,637,215,8.4998,428360.54
-115.5263,32.6092,33,2459,595,544,190,5.6701,214705.59
-116.8923,33.181,20,57,12,3070,1428,6.9859,307805.27
-117.3298,36.1894,16,2575,810,1187,537,14.5,500000.0
-117.2752,37.0114,34,3473,561,3232,879,5.9716,306124.95
-120.7051,38.1402,2,2069,484,1834,740,4.2443,282295.2
-121.3641,35.2416,35,4640,1121,3560,1490,4.0303,180257.79
-116.2064,39.0328,40,5775,1704,3836,1274,7.1376,376544.9
-116.1989,40.5852,28,5208,1379,1220,345,11.513,500000.0
-115.6293,39.8306,47,4332,1228,84,40,3.4868,137180.14
-115.1676,32.8724,39,3717,1135,1048,332,10.7848,471611.93
-119.1866,37.0168,6,3721,1200,1382,617,0.8067,94677.13
-119.2848,33.4863,9,2851,607,2635,1271,6.5745,274148.32
-116.317,34.7752,20,135,35,2847,1352,11.75,500000.0
-117.8004,41.7746,1,3165,1007,1087,296,5.4116,307984.49
-117.2803,33.8395,8,4282,1490,423,189,8.6742,402650.31
-116.3421,37.1895,23,2518,826,2654,1270,3.4722,197241.99
-115.3999,38.3107,3,3669,823,1501,522,11.2589,500000.0
-120.92,39.1032,4,1686,319,1801,488,1.258,106385.7
-120.5442,37.7607,25,3633,901,2330,923,12.8619,500000.0
-123.3602,32.5918,47,4059,1211,754,265,3.3738,201511.42
-118.5172,35.5687,38,3376,839,612,294,13.1788,500000.0
-123.9406,37.3665,15,2268,559,3036,1048,5.6117,278565.64
-119.644,33.3259,21,5897,1873,2984,946,10.9789,500000.0
-118.8736,35.7959,35,2267,504,2823,899,5.1288,235565.8
-121.4346,32.8121,46,5933,1910,3784,1420,13.6357,500000.0
-118.3917,33.2386,14,5017,1161,3561,1353,2.3362,183298.48
-123.995,36.2311,36,2419,522,3623,1637,3.0885,172537.95
-123.9265,33.7475,12,3688,888,3396,1242,7.6489,390759.42
-116.074,37.8349,17,2553,772,1923,874,1.6881,122943.95
-120.6981,38.981,39,993,174,2173,615,3.3417,97484.23
-123.0294,40.0255,9,5772,1093,488,124,14.1846,500000.0
-119.0776,34.3814,35,2887,982,3853,978,14.6591,500000.0
-116.6001,34.0743,13,2710,502,1933,518,5.9558,333803.23
-122.1418,33.4829,15,2986,787,2029,634,13.8876,500000.0
-118.0711,38.4824,18,4494,1195,748,220,8.4,413002.65
-123.4465,39.1409,51,3997,991,1362,530,4.4113,206934.63
-123.7832,32.7969,33,1726,481,3012,923,10.6848,436994.69
-118.9865,41.3004,6,1246,244,1613,554,10.0541,459075.96
-118.8936,32.9885,27,4155,1083,2988,1008,14.8423,500000.0
-117.9257,37.5882,23,2837,637,741,211,4.3432,241672.73
-117.0391,39.1652,27,1511,427,2350,917,10.2449,455548.41
-114.5415,40.6871,34,3368,600,3247,1232,1.2543,66387.64
-119.137,39.2124,46,716,189,1250,325,2.1479,99197.95
-121.0704,40.0362,38,5668,1060,3158,1495,0.5568,59473.24
-116.3481,35.6908,14,2226,458,2507,844,14.9922,500000.0
-121.5917,40.1594,36,3793,735,1684,440,12.133,495135.66
-119.9103,33.2531,8,650,121,1683,523,11.9075,500000.0
-123.5154,40.9113,35,2702,852,176,57,7.891,404362.62
-124.0465,37.6474,19,4472,926,1556,623,4.851,240833.29
-114.6735,40.1826,30,3874,1299,1241,462,2.6933,139379.08
-115.9402,36.7518,14,3956,1361,2689,726,4.6278,212453.4
-117.3403,38.5496,20,1029,272,343,110,5.9516,284125.09
-120.2105,37.4482,49,2501,447,3966,1309,11.4665,500000.0
-122.5671,39.3769,25,678,152,3759,1709,8.3251,433974.48
-122.7356,33.2673,40,1679,520,1416,697,1.6235,111896.98
-121.7976,33.0673,24,3746,837,1069,272,0.7614,91385.81
-118.8077,34.8228,14,3480,583,2407,874,1.9838,123447.81
-117.154,33.9997,26,3724,973,2759,860,6.4522,302411.0
-117.698,40.6948,38,3979,1269,2625,1216,14.0313,500000.0
-121.5007,34.5606,23,2815,870,2637,783,9.7423,432820.74
-114.7513,41.6731,22,4419,818,468,121,12.1265,500000.0
-116.921,35.6668,48,4830,1374,493,156,7.2624,339885.58
-118.7565,34.2119,19,165,32,734,326,5.7442,253368.16
-118.1828,39.9232,46,5006,969,3679,1163,2.0718,132652.62
-120.104,38.6919,51,2053,667,2937,831,13.201,500000.0
-121.8227,37.183,3,742,148,2333,829,11.8558,500000.0
-120.7403,37.7204,42,3212,651,1512,402,2.9377,233121.16
-116.7215,39.2605,19,1155,173,2311,701,7.9278,346825.69
-124.1561,34.6475,9,3058,991,134,35,7.5669,374681.11
-123.1393,41.8655,28,2211,682,2891,890,9.5638,455154.29
-123.84,41.6631,20,5938,1636,1817,803,14.2197,500000.0
-123.8927,38.6131,45,203,61,134,51,8.9067,376853.36
-115.7454,34.3757,7,5573,1005,1994,830,8.3332,353593.48
-117.2634,38.8941,14,3749,906,3610,946,1.2297,118949.96
-119.5583,33.1787,9,5435,1197,2162,614,1.4122,133021.86
-123.3217,32.7881,19,4460,753,1719,513,3.2165,181090.01
-119.3838,34.9222,47,3836,948,712,274,0.9708,80506.64
-119.5653,36.8487,14,1114,372,676,285,11.2786,500000.0
-122.568,40.6618,38,4250,672,113,32,10.9883,500000.0
-119.9615,39.3354,36,1963,409,3464,1175,2.4728,150321.29
-120.315,39.4814,40,1266,242,3036,1238,12.6231,500000.0
-118.1415,36.4996,17,5570,1101,3996,1236,2.7444,190654.37
-117.9491,35.7518,30,2451,813,968,465,4.867,233384.07
-123.847,35.9878,9,1822,444,1425,537,4.1102,238278.77
-120.5539,41.7839,33,2010,489,1231,419,5.8985,260666.71
-118.0414,32.877,25,2830,855,1662,724,4.1926,221545.75
-119.2686,40.6501,14,5749,1040,540,136,7.5898,326624.84
-115.7351,37.9395,11,4854,1201,3779,1563,6.4074,313968.69
-117.7131,36.623,35,4796,1132,1928,853,14.8053,500000.0
-122.6707,39.3174,41,2921,787,3584,1489,1.3109,65528.95
-123.5943,37.0747,14,5092,1782,3346,946,2.5616,161320.99
-117.8758,40.7102,30,710,216,1990,698,1.266,17037.91
-124.0349,40.9666,41,2685,616,362,116,9.5747,384870.78
-118.4422,36.4642,4,2379,751,2712,1328,1.2904,78316.76
-114.8977,35.1022,4,4004,737,968,468,12.6284,500000.0
-118.5453,38.0681,28,2500,390,1932,668,7.9231,375426.27
-120.4183,41.0762,8,1182,226,862,237,8.1416,375892.33
-117.8671,34.4802,2,749,163,3037,805,8.6431,386991.2
-119.7175,38.3559,41,2088,526,1539,708,2.9768,147638.95
-118.8438,38.4367,46,4697,1282,3209,1043,3.3665,206626.37
-114.8854,39.3913,22,4550,1511,1376,360,5.1229,273050.6
-120.439,33.7367,41,4607,1161,729,263,9.1057,406744.63
-114.6881,39.2288,16,2229,558,484,132,3.5467,233811.98
-115.2465,41.0449,29,2888,462,731,322,2.1868,195911.25
-122.3421,34.189,49,923,145,1208,312,14.5667,500000.0
-123.6064,34.7329,48,133,35,1123,321,0.8187,75088.3
-123.2922,41.6311,30,1472,350,1505,388,12.1391,500000.0
-124.1178,34.2012,12,2725,866,2437,727,11.9265,500000.0
-123.3556,40.5312,35,3230,588,2444,896,4.8096,244497.28
-117.4699,37.1274,11,4366,677,2743,708,2.4666,163321.98
-123.5881,34.824,46,4025,965,1420,557,2.6116,166294.45
-121.1102,40.685,50,1441,285,698,262,10.6128,479363.97
-115.8512,36.6859,21,3268,523,294,86,9.8207,411324.99
-124.0673,37.3393,21,4257,1255,2206,625,11.8498,500000.0
-116.1553,35.8768,5,664,114,3946,1023,14.0935,500000.0
-121.4815,38.0737,48,5727,1556,3920,1627,10.5329,469671.5
-123.1184,34.0371,20,3021,623,2630,731,2.7598,138416.34
-117.3326,36.1762,37,3615,668,3211,923,4.0299,220946.33
-118.0106,41.6125,3,3626,819,345,162,12.7118,500000.0
-115.5253,34.9265,44,4620,1434,2209,796,3.5349,177126.48
-116.9493,38.6733,33,320,73,3934,1533,1.5516,126160.33
-116.2652,35.5568,9,4116,1235,1662,637,10.6976,473694.01
-121.4797,39.7706,9,2518,441,3298,832,6.3366,254405.93
-122.5256,33.7302,4,1440,439,2440,743,13.8406,500000.0
-116.7939,41.6163,35,3404,672,3781,1101,9.9287,429072.13
-116.2317,36.7656,17,4185,1195,2198,556,1.8111,129292.44
-114.3949,34.7189,34,5139,1352,3879,1408,14.2439,500000.0
-120.1738,33.1909,24,3657,1228,2726,756,4.2491,285480.9
-120.5798,34.0957,32,2633,599,1677,585,5.3896,216006.82
-116.5359,37.3859,1,4123,673,3522,942,6.3328,408431.87
-120.892,35.6678,8,3125,481,77,33,1.2428,99617.9
-114.9924,40.2915,45,3956,1248,3034,779,7.6995,360763.4
-115.7159,36.5503,23,339,86,2035,835,2.2881,114475.11
-120.0101,34.8379,47,2530,772,1610,607,6.3141,273214.99
-116.7913,38.3012,40,3302,650,107,30,5.5853,246377.1
-116.7546,39.1437,12,328,72,1571,564,11.7062,500000.0
-123.2688,34.0702,12,2974,464,346,108,12.146,500000.0
-115.2745,34.0756,46,630,216,2231,772,2.7245,150053.26
-119.2475,32.8447,47,5008,1420,3452,991,5.815,218605.22
-116.0354,39.4222,15,303,102,2346,955,5.9136,288764.86
-121.0995,38.7398,41,4326,879,3118,1473,2.6955,184424.28
-115.3448,36.9615,19,4826,1314,2647,1018,12.0776,500000.0
-120.408,40.4352,26,874,250,951,323,10.7548,491924.28
-124.1916,40.0733,29,3882,829,2014,862,3.2605,186871.56
-115.2462,38.0023,22,749,239,1148,424,5.8175,323397.79
-123.3871,40.6618,40,5495,1865,1727,617,2.0342,113186.81
-121.1069,34.4349,21,1430,468,2931,1386,9.609,500000.0
-114.7994,33.552,51,3946,1175,1241,392,2.2599,62902.54
-114.7939,35.0356,38,1723,354,820,218,14.796,500000.0
-118.5656,33.0366,20,2777,573,1576,684,11.8199,475723.91
-117.9816,37.493,29,5784,1982,1428,447,6.1585,366291.63
-119.8155,41.3041,51,3206,487,1298,390,8.8892,388246.97
-121.3679,32.8698,4,3438,1008,3785,1333,13.7145,500000.0
-121.0134,33.6478,7,4357,1269,1604,471,8.5344,422958.14
-117.5748,36.7507,28,5684,1560,195,69,3.0302,185483.84
-116.7763,41.2784,28,433,151,2033,676,5.9912,260000.15
-116.3842,35.4719,4,5860,1245,1314,652,12.7256,500000.0
-116.4038,37.268,22,391,85,1957,578,9.8411,439654.4
-123.3879,32.8908,12,5984,992,2990,900,9.9355,482705.01
